ID;inquiry_ID;rank;member_ID;reason
c1000000-0000-0000-0000-000000000001;b1000000-0000-0000-0000-000000000004;1;22222222-2222-2222-2222-222222222222;SAP MMスキルがあり在庫管理業務に精通している
c1000000-0000-0000-0000-000000000002;b1000000-0000-0000-0000-000000000004;2;44444444-4444-4444-4444-444444444444;FI/CO知識を持ち棚卸差異の会計処理にも対応可能
c1000000-0000-0000-0000-000000000003;b1000000-0000-0000-0000-000000000004;3;66666666-6666-6666-6666-666666666666;ABAPスキルがあり在庫データ調査のカスタムレポートも対応可能
c1000000-0000-0000-0000-000000000004;b1000000-0000-0000-0000-000000000005;1;66666666-6666-6666-6666-666666666666;ABAP開発とSAP FI両方のスキルを持ち要件に最適
c1000000-0000-0000-0000-000000000005;b1000000-0000-0000-0000-000000000005;2;11111111-1111-1111-1111-111111111111;SAP FI知識とABAPスキルを兼ね備えている
c1000000-0000-0000-0000-000000000006;b1000000-0000-0000-0000-000000000005;3;77777777-7777-7777-7777-777777777777;ABAPおよびBTP開発スキルを保有している
c1000000-0000-0000-0000-000000000007;b1000000-0000-0000-0000-000000000006;1;55555555-5555-5555-5555-555555555555;SAP HCMの専門スキルがあり給与計算業務に精通している
c1000000-0000-0000-0000-000000000008;b1000000-0000-0000-0000-000000000006;2;11111111-1111-1111-1111-111111111111;現在の対応件数が少なくFI連携の知識もある
c1000000-0000-0000-0000-000000000009;b1000000-0000-0000-0000-000000000006;3;44444444-4444-4444-4444-444444444444;SAP FIスキルがあり給与会計連携にも対応可能
c1000000-0000-0000-0000-000000000010;b1000000-0000-0000-0000-000000000007;1;77777777-7777-7777-7777-777777777777;SAP BTPとSAP Fioriの専門スキルを持ち要件に最も適している
c1000000-0000-0000-0000-000000000011;b1000000-0000-0000-0000-000000000007;2;33333333-3333-3333-3333-333333333333;SAP BASISスキルがありFiori基盤管理に対応可能
c1000000-0000-0000-0000-000000000012;b1000000-0000-0000-0000-000000000007;3;66666666-6666-6666-6666-666666666666;ABAPスキルがありFioriカスタマイズ対応も可能
c1000000-0000-0000-0000-000000000013;b1000000-0000-0000-0000-000000000008;1;22222222-2222-2222-2222-222222222222;SAP SDとSAP MMの両方のスキルを持ちパートナー機能設定に精通
c1000000-0000-0000-0000-000000000014;b1000000-0000-0000-0000-000000000008;2;11111111-1111-1111-1111-111111111111;FI知識がありSD/FI連携問題にも対応可能
c1000000-0000-0000-0000-000000000015;b1000000-0000-0000-0000-000000000008;3;44444444-4444-4444-4444-444444444444;現在の対応件数が少なく負荷が低い
